,region,network,community_index
0,isthmuscingulate,DMN,2
1,superiorparietal,Somatomotor,9
2,precentral,Somatomotor,9
3,superiorfrontal,Ventral_Attention,10
4,superiorparietal,Visual,11
5,lingual,Visual,11
6,middletemporal,Frontoparietal,4
7,insula,Somatomotor,9
8,temporalpole,Zero,12
9,isthmuscingulate,Medial_Parietal,6
10,precuneus,DMN,2
11,precuneus,Parieto_occipital,7
12,isthmuscingulate,Parieto_occipital,7
13,precuneus,Visual,11
14,lingual,Visual,11
15,???,Zero,12
16,isthmuscingulate,DMN,2
17,parahippocampal,Parieto_occipital,7
18,isthmuscingulate,Parieto_occipital,7
19,posteriorcingulate,Frontoparietal,4
20,posteriorcingulate,Medial_Parietal,6
21,posteriorcingulate,Somatomotor,9
22,posteriorcingulate,Somatomotor,9
23,superiorfrontal,Cingulo_opercular,1
24,superiorfrontal,DMN,2
25,superiorfrontal,Frontoparietal,4
26,superiorfrontal,Frontoparietal,4
27,caudalanteriorcingulate,Salience,8
28,rostralanteriorcingulate,Salience,8
29,posteriorcingulate,Medial_Parietal,6
30,posteriorcingulate,Medial_Parietal,6
31,caudalanteriorcingulate,Zero,12
32,superiorfrontal,Cingulo_opercular,1
33,caudalanteriorcingulate,Cingulo_opercular,1
34,precuneus,Somatomotor,9
35,precuneus,Somatomotor,9
36,superiorparietal,Zero,12
37,precentral,Somatomotor,9
38,precentral,Somatomotor,9
39,paracentral,Somatomotor,9
40,superiorfrontal,Somatomotor,9
41,superiorfrontal,Cingulo_opercular,1
42,precuneus,Cingulo_opercular,1
43,precuneus,Cingulo_opercular,1
44,postcentral,Somatomotor,9
45,paracentral,Somatomotor,9
46,paracentral,Somatomotor,9
47,paracentral,Somatomotor,9
48,superiorfrontal,Somatomotor,9
49,superiorfrontal,Cingulo_opercular,1
50,postcentral,Somatomotor,9
51,precentral,Somatomotor,9
52,precentral,Somatomotor,9
53,precentral,Ventral_Attention,10
54,caudalmiddlefrontal,Cingulo_opercular,1
55,caudalmiddlefrontal,Frontoparietal 2,5
56,superiorfrontal,Frontoparietal,4
57,superiorfrontal,Frontoparietal,4
58,postcentral,Somatomotor,9
59,postcentral,Somatomotor,9
60,precentral,Somatomotor,9
61,precentral,Somatomotor,9
62,precentral,Cingulo_opercular,1
63,precentral,Somatomotor,9
64,precentral,Somatomotor,9
65,superiorfrontal,Somatomotor,9
66,superiorfrontal,Dorsal_Attention,3
67,superiorparietal,Somatomotor,9
68,superiorparietal,Cingulo_opercular,1
69,superiorparietal,Somatomotor,9
70,superiorparietal,Somatomotor,9
71,superiorparietal,Somatomotor,9
72,superiorparietal,Dorsal_Attention,3
73,supramarginal,Frontoparietal,4
74,supramarginal,Frontoparietal,4
75,precentral,Somatomotor,9
76,postcentral,Somatomotor,9
77,postcentral,Somatomotor,9
78,postcentral,Somatomotor,9
79,supramarginal,Dorsal_Attention,3
80,superiorparietal,Somatomotor,9
81,superiorparietal,Somatomotor,9
82,postcentral,Somatomotor,9
83,postcentral,Somatomotor,9
84,postcentral,Somatomotor,9
85,postcentral,Somatomotor,9
86,precentral,Somatomotor,9
87,supramarginal,Frontoparietal,4
88,inferiorparietal,Frontoparietal,4
89,inferiorparietal,DMN,2
90,inferiorparietal,DMN,2
91,middletemporal,Ventral_Attention,10
92,bankssts,Ventral_Attention,10
93,supramarginal,Cingulo_opercular,1
94,supramarginal,Cingulo_opercular,1
95,supramarginal,Cingulo_opercular,1
96,supramarginal,Cingulo_opercular,1
97,supramarginal,Cingulo_opercular,1
98,middletemporal,Frontoparietal,4
